Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAPC2012X140N,2,CL21A106KOQNNNE,
"C3, C4",CAPC2012X88N,2,C0805C104Z3VACTU,
DS1,NHD_NHD-0216K1Z-NSW-BBW-L,1,NHD-0216K1Z-NSW-BBW-L,
IC1,SOT230P700X180-4N,1,REG1117-5,
J1,TE_DT15-4P,1,DT15-4P,DT15-4P
"R1, R14, R17, R2, R3, R4, R5, R6",RESC2012X50N,8,10K,
"S1, S2, S3, S4",SW_100SP1T1B4M2QE,4,100SP1T1B4M2QE,
U1,Teensy40_SMT,1,Teensy4.0,
"U2, U4, U5, U6",SOIC254P695X242-4N,4,VOM618A-3T,
U3,SOT65P210X110-5N,1,MIC5365-1.3YC5-TR,
